Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Kyle Manzardo,Royals,Away,6,13,4,246,64,Seth Lugo,Right,Left,3,0,78.0,19,60.0,13,97.0,22,726.0,156,366,80,378.0,86,131,36,5.0,12.0
Lane Thomas,Royals,Away,7,35,8,246,64,Seth Lugo,Right,Right,7,1,307.0,59,210.0,47,438.0,93,726.0,156,366,80,348.0,70,131,36,11.0,43.0
Bo Naylor,Royals,Away,8,42,12,246,64,Seth Lugo,Right,Left,2,2,257.0,50,182.0,37,327.0,63,726.0,156,366,80,378.0,86,131,36,9.0,36.0
Brayan Rocchio,Royals,Away,9,20,5,246,64,Seth Lugo,Right,Both,2,0,264.0,52,195.0,36,375.0,70,726.0,156,366,80,726.0,156,131,36,10.0,45.0
Tommy Pham,Guardians,Home,1,44,10,214,40,Ben Lively,Right,Right,9,3,293.0,70,203.0,48,386.0,89,542.0,119,271,57,279.0,66,23,4,,
Bobby Witt Jr,Guardians,Home,2,81,18,214,40,Ben Lively,Right,Right,6,3,494.0,152,303.0,107,610.0,189,542.0,119,271,57,279.0,66,23,4,16.0,72.0
Michael Massey,Guardians,Home,3,42,5,214,40,Ben Lively,Right,Left,5,0,230.0,56,155.0,42,277.0,68,542.0,119,271,57,263.0,53,23,4,8.0,44.0
Salvador Perez,Guardians,Home,4,126,33,214,40,Ben Lively,Right,Right,4,2,424.0,102,283.0,68,557.0,139,542.0,119,271,57,279.0,66,23,4,13.0,65.0
Paul DeJong,Guardians,Home,5,65,10,214,40,Ben Lively,Right,Right,9,3,330.0,75,214.0,48,445.0,96,542.0,119,271,57,279.0,66,23,4,7.0,47.0
MJ Melendez,Guardians,Home,6,63,10,214,40,Ben Lively,Right,Left,5,2,328.0,67,194.0,41,397.0,78,542.0,119,271,57,263.0,53,23,4,12.0,54.0
